"","ctrl1","ctrl2","ctrl3","ctrl4","RA1","RA2","RA3","RA4"
"IKZF3",967.7692126,443.355346,280.4486132,133.7763402,1880.729972,1506.299213,9668.875783,2247.807795
"IKZF4",51.39206039,169.7317536,59.02532632,34.99996549,15.99997131,25.32477826,30.38143174,78.46488774
"IKZF5",1034.829443,103.0000025,163.0002192,143.0000353,96.99971426,1138.99579,1014.99963,1104.999674
"IL10",27.60613452,0,37.91765177,16.42411208,35.17775047,256.6313411,199.130892,46.65051511
"IL10RA",5981.002754,511.0018316,559.001595,339.9999212,2135.990015,10103.0073,5148.996188,4042.002145
"IL10RB",1369.086035,157.4719883,216.5551782,149.0407431,27.01347047,1007.691472,968.7204065,1336.876964
"IL11",28.37916986,45.08670589,3.126737584,12.24950024,1.408538758,47.03998219,32.82754987,46.18073678
"IL11RA",2142.056699,183.6456701,160.2264923,114.9788914,123.2755378,231.9577206,206.4942603,318.0960559
"IL12A",6.000009529,0,5.000005271,3.999989708,4.999997249,21.00002312,48.00019667,0
"IL12B",65.60101895,23.0000364,13.47597542,0,9.360386347,50.28011802,93.59701906,36.47580747
"IL12RB1",292.8007021,128.2374365,131.7927701,96.90272835,26.54923668,171.132908,407.6855432,249.6861957
"IL12RB2",146.5121571,67.16425223,29.48533114,22.13526747,51.13391354,181.9937665,269.5322476,168.4798095
"IL13",0,37.0000427,0,0,0,0,0,11.00000863
"IL13RA1",3317.948985,795.9671242,1087.146998,1031.495541,1507.732974,11344.52499,6858.236261,7662.888689
"IL13RA2",8.999992581,9.99998915,14.99996584,9.999940441,3.999990463,185.0001469,141.0001616,137.0000917
"IL15",602.127158,115.7779206,76.42172769,29.92643696,234.8881211,1022.705711,1425.906504,534.6717219
"IL15RA",191.0002896,0,49.00006049,45.99998283,58.99979588,307.9997907,462.0003584,254.0001177
"IL16",12208.74115,746.2832082,549.3327861,711.1545504,1231.559611,4608.110465,7432.214461,9651.634383
"IL17A",0,4.000001408,0,0,0,0,1.000000906,0
"IL17B",1.999997191,0,1.999999442,0,0,3.000002007,6.000007944,0
"IL17C",2.000000414,0,0,0,0,3.999994507,0.99999985,0
"IL17D",380.9997513,289.0004788,188.9998505,127.9997435,62.99984351,143.9999902,70.00022942,605.9996136
"IL17F",0,0,0,0,0,0,0.999999977,0
"IL17RA",3672.038307,620.4764992,859.960992,593.1547076,456.6372738,2785.657963,2252.940724,2646.994083
"IL17RB",99.00021011,37.00004083,30.99999785,1.9999996,29.99986737,130.0001922,128.9999128,130.9998518
"IL17RC",399.1064443,169.0638373,124.021024,107.1970843,32.72601405,110.1244157,265.8473054,306.8579506
"IL17RD",1129.45221,477.8478385,284.2442552,271.9271,83.96211745,923.4014332,166.532667,2135.179192
"IL17RE",487.2002822,49.19311883,63.86053949,44.224114,28.72760608,88.07492607,23.86254704,112.186035
"IL17REL",1.000000318,31.0000188,0,2.99998938,0.999995107,0,16.00002481,5.999998985
"IL18",981.0103216,97.58026684,128.4408354,94.25191187,123.7990997,435.6053074,1431.551413,427.2855109
"IL18BP",1061.856418,26.59778591,45.35798159,23.32244116,88.47246336,309.6267904,345.3555327,257.2129401
"IL18R1",800.2129558,0,20.99995314,6.999995189,75.99976762,464.0001161,496.0003885,492.0003688
"IL18RAP",48.00004416,0,0,0,33.99990159,136.0001706,184.0001942,825.9993587
"IL19",111.9125405,91.69982042,10.57053672,13.09296883,12.9648266,45.00732456,88.69420166,70.45272029
"IL1A",0,0,0,0,0,15.9999994,9.000017833,0
"IL1B",2.999997032,0,1.000000367,0,31.99986909,74.99995737,9.000025528,82.00000014
"IL1F10",0.999999961,0,0,0,0,0,0,0
"IL1R1",4409.825154,1363.162284,2050.207246,710.0087599,1594.327372,9437.199331,6945.243855,6550.342924
"IL1R2",49.99995304,0,2.000002122,16.99993967,5.999997982,125.0002255,88.99999254,808.9999637
"IL1RAP",1577.795772,121.4227267,176.6837096,114.8644861,325.3454627,1862.784345,1780.471045,2560.69747
"IL1RAPL1",9.000015367,5.000003335,0,10.0000028,4.999983166,14.99998633,46.00003905,67.0000124
"IL1RAPL2",0,0,0,0,0,0,0,0
"IL1RL1",1357.384612,37.14565053,30.40231049,10.07064841,86.18963952,227.9566482,194.3319223,748.0380368
"IL1RL2",126.0002105,47.00005015,18.99999759,4.99999433,10.99994784,49.00005523,60.00005529,49.99990951
"IL1RN",5.000006895,0,0,0,69.99979897,68.00000516,125.9999704,114.9998431
"IL2",0,0,0,3.000000283,0,1.000001616,3.999995652,0
"IL20",0,0,0,0,0,0,0,0
"IL20RA",4.00000199,4.9999954,13.00001218,1.999999541,3.999983646,14.00001096,4.00000186,19.99996404
"IL20RB",155.6047716,135.2365042,16.51361585,1.000370105,25.11175256,122.5252096,111.5761853,121.236638
"IL21",0,16.00001406,0,0,25.99993292,11.99999934,143.9998364,4.00000203
"IL21R",189.5236443,94.69537176,69.42576232,57.38781032,293.274282,368.7190887,2182.455274,190.6024049
"IL22",0,0,0,0,7.99998285,5.999992058,15.99999812,12.99997258
"IL22RA1",14.00000144,28.00013835,0,0,0.9999983,5.000002446,19.00000318,0.999996346
"IL22RA2",0,0,0,0,1.999993669,0,8.000001129,0
"IL23A",5.999996871,0,0,7.000021943,0,0,0,6.000006141
"IL23R",43.58824447,27.10362025,1.070345965,3.475383643,2.053306828,14.51436436,39.7521629,11.97607841
"IL24",0,0,0,0,28.02059994,0,24.12416558,0
"IL25",0,0,0,0,0,0,0,0
"IL26",9.000007536,22.99998809,0,0,10.99998592,70.99996829,79.00008975,49.00000212
"IL27",0,2.000005921,8.120143922,0,0,3.000003077,1.000000271,0.999999523
"IL27RA",373.4736344,69.99978716,65.46630268,52.99992696,348.2407079,417.8374524,1049.635176,172.1818765
"IL2RA",51.11882865,45.10762112,18.62947177,0,101.7228159,465.3708647,905.6011167,155.4069122
"IL2RB",154.6275742,25.00003276,17.00000091,11.00000408,286.3918821,346.6947976,145.5666693,250.8111998
"IL2RG",56.24328702,39.99999923,12.15726266,26.99995958,305.6043213,586.3344841,940.8413002,216.143846
"IL3",15.0000456,0,0,0,3.999998397,28.00003634,17.99991974,12.99998956
"IL31",0,0,0,0,0,1.000000688,0,0
